time,Vs,Vo
0,-0.068359,-0.942383
0.001,-0.063477,-0.942383
0.002,-0.068359,-0.9375
0.003,-0.063477,-0.9375
0.004,-0.063477,-0.932617
0.005,-0.063477,-0.927734
0.006,-0.058594,-0.922852
0.007,-0.058594,-0.913086
0.008,-0.053711,-0.908203
0.009,-0.053711,-0.90332
0.01,-0.048828,-0.883789
0.011,-0.048828,-0.878906
0.012,-0.043945,-0.869141
0.013,-0.043945,-0.854492
0.014,-0.03418,-0.839844
0.015,-0.039063,-0.820313
0.016,-0.029297,-0.795899
0.017,-0.029297,-0.78125
0.018,-0.019531,-0.756836
0.019,-0.019531,-0.722656
0.02,-0.014648,-0.668945
0.021,-0.014648,-0.551758
0.022,-0.009766,-0.3125
0.023,-0.009766,-0.058594
0.024,-0.009766,0.185547
0.025,0.009766,0.43457
0.026,0.146484,0.668945
0.027,0.332031,0.90332
0.028,0.532227,1.123047
0.029,0.737305,1.342774
0.03,0.947266,1.557617
0.031,1.147461,1.777344
0.032,1.352539,1.977539
0.033,1.547852,2.177735
0.034,1.723633,2.368164
0.035,1.914063,2.563477
0.036,2.070313,2.734375
0.037,2.236328,2.900391
0.038,2.382813,3.041992
0.039,2.514649,3.178711
0.04,2.636719,3.305664
0.041,2.744141,3.413086
0.042,2.836914,3.515625
0.043,2.929688,3.598633
0.044,2.988282,3.666993
0.045,3.03711,3.720704
0.046,3.076172,3.754883
0.047,3.100586,3.78418
0.048,3.120118,3.789063
0.049,3.120118,3.798829
0.05,3.105469,3.779297
0.051,3.071289,3.735352
0.052,3.027344,3.701172
0.053,2.963867,3.632813
0.054,2.895508,3.554688
0.055,2.797852,3.461914
0.056,2.69043,3.354493
0.057,2.573242,3.237305
0.058,2.451172,3.110352
0.059,2.314453,2.978516
0.06,2.172852,2.822266
0.061,2.011719,2.646485
0.062,1.835938,2.470703
0.063,1.650391,2.285156
0.064,1.469727,2.09961
0.065,1.279297,1.904297
0.066,1.083984,1.694336
0.067,0.874024,1.47461
0.068,0.664063,1.259766
0.069,0.444336,1.020508
0.07,0.249023,0.791016
0.071,0.063477,0.546875
0.072,-0.009766,0.307617
0.073,-0.014648,0.048828
0.074,-0.009766,-0.200195
0.075,-0.014648,-0.439453
0.076,-0.014648,-0.625
0.077,-0.009766,-0.703125
0.078,-0.024414,-0.742188
0.079,-0.024414,-0.771484
0.08,-0.029297,-0.791016
0.081,-0.029297,-0.810547
0.082,-0.03418,-0.830078
0.083,-0.03418,-0.844727
0.084,-0.043945,-0.859375
0.085,-0.043945,-0.874024
0.086,-0.048828,-0.883789
0.087,-0.048828,-0.893555
0.088,-0.048828,-0.90332
0.089,-0.053711,-0.913086
0.09,-0.058594,-0.917969
0.091,-0.063477,-0.922852
0.092,-0.063477,-0.932617
0.093,-0.063477,-0.9375
0.094,-0.068359,-0.942383
0.095,-0.068359,-0.942383
0.096,-0.068359,-0.942383
0.097,-0.068359,-0.947266
