time,Vs,Vo
0,1.918946,-0.917969
0.001,1.899414,-0.893555
0.002,1.879883,-0.874024
0.003,1.860352,-0.849609
0.004,1.840821,-0.810547
0.005,1.826172,-0.776367
0.006,1.806641,-0.717774
0.007,1.78711,-0.600586
0.008,1.772461,-0.258789
0.009,1.75293,0.107422
0.01,1.733399,0.478516
0.011,1.71875,0.849609
0.012,1.699219,1.206055
0.013,1.689453,1.5625
0.014,1.669922,1.889649
0.015,1.655274,2.197266
0.016,1.655274,2.333985
0.017,1.694336,2.416992
0.018,1.772461,2.514649
0.019,1.870117,2.622071
0.02,1.982422,2.749024
0.021,2.109375,2.871094
0.022,2.226563,2.998047
0.023,2.353516,3.115235
0.024,2.465821,3.227539
0.025,2.563477,3.31543
0.026,2.646485,3.383789
0.027,2.714844,3.452149
0.028,2.768555,3.481446
0.029,2.792969,3.491211
0.03,2.797852,3.466797
0.031,2.788086,3.383789
0.032,2.758789,3.212891
0.033,2.729492,2.983399
0.034,2.695313,2.734375
0.035,2.670899,2.446289
0.036,2.641602,2.143555
0.037,2.617188,1.835938
0.038,2.587891,1.484375
0.039,2.563477,1.12793
0.04,2.529297,0.766602
0.041,2.509766,0.385742
0.042,2.480469,0.029297
0.043,2.456055,-0.361328
0.044,2.431641,-0.644531
0.045,2.407227,-0.737305
0.046,2.37793,-0.786133
0.047,2.358399,-0.820313
0.048,2.329102,-0.844727
0.049,2.309571,-0.878906
0.05,2.285156,-0.90332
0.051,2.260742,-0.927734
0.052,2.236328,-0.942383
0.053,2.216797,-0.961914
0.054,2.192383,-0.966797
0.055,2.167969,-0.986328
0.056,2.143555,-0.991211
0.057,2.128906,-1.000977
0.058,2.09961,-1.000977
0.059,2.084961,-1.005859
0.06,2.055664,-1.000977
0.061,2.041016,-0.996094
0.062,2.011719,-0.986328
0.063,1.997071,-0.981445
0.064,1.972656,-0.961914
0.065,1.953125,-0.952149
0.066,1.928711,-0.932617
0.067,1.914063,-0.917969
0.068,1.894531,-0.893555
0.069,1.875,-0.869141
