t,x,y
0.000000,2.514649,0.000550
0.500000,2.514649,0.003713
1.000000,2.514649,0.012668
1.500000,2.519532,0.030266
2.000000,2.514649,0.058465
2.500000,2.509766,0.098450
3.000000,2.514649,0.150753
3.500000,2.509766,0.215358
4.000000,2.509766,0.291810
4.500000,2.500000,0.379296
5.000000,2.500000,0.476726
5.500000,2.504883,0.582807
6.000000,2.504883,0.696116
6.500000,2.504883,0.815155
7.000000,2.509766,0.938400
7.500000,2.500000,1.064335
8.000000,2.495117,1.191486
8.500000,2.500000,1.318441
9.000000,2.504883,1.443885
9.500000,2.504883,1.566623
10.000000,2.504883,1.685585
10.500000,2.509766,1.799837
11.000000,2.504883,1.908580
11.500000,2.509766,2.011154
12.000000,2.504883,2.107029
12.500000,2.509766,2.195810
13.000000,2.509766,2.277223
13.500000,2.509766,2.351116
14.000000,2.509766,2.417444
14.500000,2.509766,2.476261
15.000000,2.504883,2.527706
15.500000,2.514649,2.571997
16.000000,2.509766,2.609419
16.500000,-2.470703,2.639228
17.000000,-2.485352,2.657725
17.500000,-2.480469,2.659026
18.000000,-2.480469,2.637919
18.500000,-2.490235,2.590992
19.000000,-2.485352,2.516362
19.500000,-2.490235,2.413438
20.000000,-2.485352,2.282706
20.500000,-2.495117,2.125517
21.000000,-2.495117,1.943911
21.500000,-2.495117,1.740443
22.000000,-2.490235,1.518047
22.500000,-2.495117,1.279906
23.000000,-2.495117,1.029338
23.500000,-2.490235,0.769698
24.000000,-2.495117,0.504294
24.500000,-2.495117,0.236320
25.000000,-2.495117,-0.031204
25.500000,-2.500000,-0.295473
26.000000,-2.495117,-0.553934
26.500000,-2.500000,-0.804307
27.000000,-2.504883,-1.044599
27.500000,-2.500000,-1.273117
28.000000,-2.500000,-1.488461
28.500000,-2.500000,-1.689521
29.000000,-2.500000,-1.875464
29.500000,-2.500000,-2.045726
30.000000,-2.504883,-2.199991
30.500000,-2.495117,-2.338181
31.000000,-2.500000,-2.460421
31.500000,-2.504883,-2.567025
32.000000,-2.500000,-2.658477
32.500000,-2.500000,-2.735400
33.000000,-2.504883,-2.798539
33.500000,-2.500000,-2.848733
34.000000,-2.509766,-2.886899
34.500000,-2.504883,-2.914011
35.000000,-2.509766,-2.931083
35.500000,-2.509766,-2.939142
36.000000,-2.509766,-2.939224
36.500000,-2.509766,-2.932346
37.000000,-2.500000,-2.919499
37.500000,-2.495117,-2.901631
38.000000,-2.504883,-2.879637
38.500000,-2.500000,-2.854362
39.000000,-2.509766,-2.826604
39.500000,-2.495117,-2.797098
40.000000,-2.500000,-2.766513
40.500000,-2.500000,-2.735447
41.000000,-2.504883,-2.704434
41.500000,-2.500000,-2.673946
42.000000,-2.509766,-2.644390
42.500000,-2.495117,-2.616112
43.000000,-2.509766,-2.589393
43.500000,-2.509766,-2.564461
44.000000,-2.504883,-2.541492
44.500000,-2.504883,-2.520611
45.000000,-2.514649,-2.501895
45.500000,-2.500000,-2.485378
46.000000,-2.509766,-2.471059
46.500000,-2.500000,-2.458895
47.000000,-2.495117,-2.448815
47.500000,-2.504883,-2.440718
48.000000,-2.509766,-2.434490
48.500000,-2.500000,-2.430007
49.000000,-2.514649,-2.427137
49.500000,-2.500000,-2.425740
50.000000,-2.504883,-2.425667
50.500000,-2.509766,-2.426767
51.000000,-2.509766,-2.428889
51.500000,-2.504883,-2.431890
52.000000,-2.509766,-2.435629
52.500000,-2.509766,-2.439967
53.000000,-2.509766,-2.444776
53.500000,-2.504883,-2.449937
54.000000,-2.509766,-2.455334
54.500000,-2.509766,-2.460862
55.000000,-2.509766,-2.466429
55.500000,-2.509766,-2.471952
56.000000,-2.500000,-2.477357
56.500000,-2.509766,-2.482576
57.000000,-2.504883,-2.487551
57.500000,-2.514649,-2.492238
58.000000,-2.504883,-2.496603
58.500000,-2.509766,-2.500625
59.000000,-2.509766,-2.504286
59.500000,-2.514649,-2.507577
60.000000,-2.504883,-2.510500
60.500000,-2.509766,-2.513056
61.000000,-2.509766,-2.515251
61.500000,-2.509766,-2.517098
62.000000,-2.509766,-2.518611
62.500000,-2.509766,-2.519809
63.000000,-2.500000,-2.520711
63.500000,-2.509766,-2.521335
64.000000,-2.509766,-2.521699
64.500000,2.470703,-2.520739
65.000000,2.470703,-2.514400
65.500000,2.475586,-2.496411
66.000000,2.470703,-2.461149
66.500000,2.480469,-2.404767
67.000000,2.475586,-2.324934
67.500000,2.475586,-2.220611
68.000000,2.480469,-2.091831
68.500000,2.485352,-1.939500
69.000000,2.485352,-1.765222
69.500000,2.490235,-1.571133
70.000000,2.485352,-1.359768
70.500000,2.490235,-1.133931
71.000000,2.480469,-0.896594
71.500000,2.490235,-0.650792
72.000000,2.485352,-0.399547
72.500000,2.500000,-0.145793
73.000000,2.485352,0.107684
73.500000,2.500000,0.358282
74.000000,2.490235,0.603616
74.500000,2.504883,0.841547
75.000000,2.500000,1.070201
75.500000,2.504883,1.287974
76.000000,2.500000,1.493535
76.500000,2.504883,1.685816
77.000000,2.500000,1.864010
77.500000,2.504883,2.027557
78.000000,2.504883,2.176129
78.500000,2.504883,2.309622
79.000000,2.500000,2.428123
79.500000,2.504883,2.531898
80.000000,2.504883,2.621368
80.500000,2.504883,2.697093
81.000000,2.509766,2.759750
81.500000,2.500000,2.810106
82.000000,2.514649,2.849005
82.500000,2.504883,2.877345
83.000000,2.514649,2.896063
83.500000,2.509766,2.906118
84.000000,2.514649,2.908474
84.500000,2.509766,2.904083
85.000000,2.514649,2.893879
85.500000,2.514649,2.878762
86.000000,2.509766,2.859594
86.500000,2.509766,2.837183
87.000000,2.509766,2.812284
87.500000,2.509766,2.785593
88.000000,2.509766,2.757747
88.500000,2.509766,2.729319
89.000000,2.514649,2.700825
89.500000,2.514649,2.672719
90.000000,2.514649,2.645396
90.500000,2.509766,2.619191
91.000000,2.509766,2.594375
91.500000,2.514649,2.571166
92.000000,2.514649,2.549729
92.500000,2.514649,2.530189
93.000000,2.514649,2.512626
93.500000,2.509766,2.497076
94.000000,2.509766,2.483541
94.500000,2.509766,2.471985
95.000000,2.509766,2.462349
95.500000,2.514649,2.454550
96.000000,2.514649,2.448494
96.500000,2.514649,2.444071
97.000000,2.514649,2.441164
97.500000,2.509766,2.439642
98.000000,2.509766,2.439367
98.500000,2.509766,2.440194
99.000000,2.514649,2.441981
99.500000,2.514649,2.444590
100.000000,2.514649,2.447890
100.500000,2.524414,2.451759
101.000000,2.514649,2.456083
101.500000,2.509766,2.460755
102.000000,2.514649,2.465664
102.500000,2.514649,2.470709
103.000000,2.514649,2.475801
103.500000,2.514649,2.480861
104.000000,2.514649,2.485819
104.500000,2.509766,2.490615
105.000000,2.519532,2.495197
105.500000,2.509766,2.499522
106.000000,2.519532,2.503558
106.500000,2.514649,2.507283
107.000000,2.514649,2.510680
107.500000,2.519532,2.513741
108.000000,2.519532,2.516465
108.500000,2.519532,2.518859
109.000000,2.514649,2.520932
109.500000,2.519532,2.522695
110.000000,2.514649,2.524161
110.500000,2.519532,2.525345
111.000000,2.524414,2.526266
111.500000,2.519532,2.526949
112.000000,2.519532,2.527420
112.500000,2.519532,2.527702
113.000000,2.524414,2.527816
113.500000,2.519532,2.527787
114.000000,2.519532,2.527637
114.500000,2.519532,2.527384
115.000000,2.514649,2.527045
115.500000,2.519532,2.526633
116.000000,2.519532,2.526160
116.500000,2.519532,2.525642
117.000000,2.519532,2.525091
117.500000,2.519532,2.524523
118.000000,2.519532,2.523947
118.500000,-2.475586,2.522283
119.000000,-2.470703,2.515442
119.500000,-2.475586,2.497121
120.000000,-2.475586,2.461664
120.500000,-2.480469,2.405194
121.000000,-2.480469,2.325356
121.500000,-2.475586,2.221085
122.000000,-2.485352,2.092396
122.500000,-2.485352,1.940179
123.000000,-2.490235,1.766023
123.500000,-2.490235,1.572055
124.000000,-2.495117,1.360799
124.500000,-2.495117,1.135049
125.000000,-2.495117,0.897763
125.500000,-2.495117,0.651967
126.000000,-2.495117,0.400674
126.500000,-2.500000,0.146815
127.000000,-2.495117,-0.106819
127.500000,-2.495117,-0.357618
128.000000,-2.500000,-0.603189
128.500000,-2.500000,-0.841385
129.000000,-2.495117,-1.070319
129.500000,-2.500000,-1.288370
130.000000,-2.509766,-1.494194
130.500000,-2.500000,-1.686721
131.000000,-2.504883,-1.865140
131.500000,-2.500000,-2.028890
132.000000,-2.500000,-2.177639
132.500000,-2.500000,-2.311272
133.000000,-2.504883,-2.429874
133.500000,-2.509766,-2.533713
134.000000,-2.500000,-2.623218
134.500000,-2.500000,-2.698951
135.000000,-2.500000,-2.761582
135.500000,-2.509766,-2.811878
136.000000,-2.500000,-2.850682
136.500000,-2.500000,-2.878895
137.000000,-2.509766,-2.897449
137.500000,-2.500000,-2.907301
138.000000,-2.504883,-2.909415
138.500000,-2.500000,-2.904741
139.000000,-2.500000,-2.894210
139.500000,-2.504883,-2.878719
140.000000,-2.500000,-2.859130
140.500000,-2.500000,-2.836258
141.000000,-2.495117,-2.810860
141.500000,-2.500000,-2.783638
142.000000,-2.500000,-2.755231
142.500000,-2.500000,-2.726224
143.000000,-2.500000,-2.697137
143.500000,-2.509766,-2.668430
144.000000,-2.509766,-2.640509
144.500000,-2.504883,-2.613722
145.000000,-2.500000,-2.588352
145.500000,-2.500000,-2.564622
146.000000,-2.514649,-2.542699
146.500000,-2.500000,-2.522709
147.000000,-2.504883,-2.504735
147.500000,-2.509766,-2.488815
148.000000,-2.500000,-2.474952
148.500000,-2.504883,-2.463117
149.000000,-2.504883,-2.453251
149.500000,-2.500000,-2.445271
150.000000,-2.504883,-2.439077
150.500000,-2.509766,-2.434552
151.000000,-2.500000,-2.431574
151.500000,-2.504883,-2.430008
152.000000,-2.509766,-2.429714
152.500000,-2.504883,-2.430552
153.000000,-2.514649,-2.432384
153.500000,-2.504883,-2.435076
154.000000,-2.509766,-2.438494
154.500000,-2.504883,-2.442508
155.000000,-2.509766,-2.446992
155.500000,-2.514649,-2.451828
156.000000,-2.504883,-2.456912
156.500000,-2.509766,-2.462145
157.000000,-2.509766,-2.467435
157.500000,-2.500000,-2.472698
158.000000,-2.509766,-2.477858
158.500000,-2.514649,-2.482850
159.000000,-2.504883,-2.487625
159.500000,-2.509766,-2.492142
160.000000,-2.509766,-2.496366
160.500000,-2.509766,-2.500271
161.000000,-2.509766,-2.503841
161.500000,-2.514649,-2.507067
162.000000,-2.514649,-2.509947
162.500000,-2.509766,-2.512489
163.000000,-2.500000,-2.514696
163.500000,-2.509766,-2.516571
164.000000,-2.509766,-2.518120
164.500000,-2.504883,-2.519356
165.000000,-2.504883,-2.520296
165.500000,-2.509766,-2.520956
166.000000,-2.500000,-2.521355
166.500000,-2.509766,-2.521515
167.000000,-2.500000,-2.521455
167.500000,-2.504883,-2.521198
168.000000,-2.495117,-2.520761
168.500000,-2.500000,-2.520162
169.000000,-2.500000,-2.519417
169.500000,-2.500000,-2.518543
170.000000,-2.500000,-2.517562
170.500000,-2.495117,-2.516493
171.000000,-2.500000,-2.515353
171.500000,-2.500000,-2.514160
172.000000,-2.504883,-2.512934
172.500000,-2.509766,-2.511699
173.000000,-2.500000,-2.510481
173.500000,-2.500000,-2.509299
174.000000,-2.495117,-2.508162
174.500000,2.460938,-2.505990
175.000000,2.470703,-2.498714
175.500000,2.465821,-2.480063
176.000000,2.475586,-2.444406
176.500000,2.470703,-2.387880
177.000000,2.475586,-2.308140
177.500000,2.475586,-2.204124
178.000000,2.475586,-2.075842
178.500000,2.480469,-1.924178
179.000000,2.480469,-1.750713
179.500000,2.485352,-1.557564
180.000000,2.480469,-1.347242
180.500000,2.480469,-1.122535
181.000000,2.490235,-0.886391
181.500000,2.485352,-0.641821
182.000000,2.485352,-0.391818
182.500000,2.490235,-0.139297
183.000000,2.495117,0.112969
183.500000,2.490235,0.362396
184.000000,2.500000,0.606613
184.500000,2.490235,0.843495
185.000000,2.500000,1.071170
185.500000,2.504883,1.288038
186.000000,2.500000,1.492771
186.500000,2.514649,1.684310
187.000000,2.504883,1.861859
187.500000,2.500000,2.024866
188.000000,2.504883,2.173003
188.500000,2.504883,2.306155
189.000000,2.500000,2.424404
189.500000,2.504883,2.528009
190.000000,2.504883,2.617385
190.500000,2.509766,2.693085
191.000000,2.504883,2.755779
191.500000,2.504883,2.806230
192.000000,2.509766,2.845271
192.500000,2.514649,2.873795
193.000000,2.514649,2.892735
193.500000,2.519532,2.903048
194.000000,2.509766,2.905696
194.500000,2.519532,2.901627
195.000000,2.509766,2.891767
195.500000,2.514649,2.877008
196.000000,2.509766,2.858201
196.500000,2.509766,2.836145
197.000000,2.509766,2.811589
197.500000,2.514649,2.785225
198.000000,2.504883,2.757686
198.500000,2.509766,2.729544
199.000000,2.514649,2.701306
199.500000,2.514649,2.673426
200.000000,2.514649,2.646298
200.500000,2.509766,2.620256
201.000000,2.519532,2.595576
201.500000,2.514649,2.572481
202.000000,2.509766,2.551142
202.500000,2.509766,2.531679
203.000000,2.509766,2.514165
203.500000,2.509766,2.498632
204.000000,2.504883,2.485078
204.500000,2.509766,2.473471
205.000000,2.509766,2.463753
205.500000,2.509766,2.455847
206.000000,2.514649,2.449661
206.500000,2.509766,2.445087
207.000000,2.519532,2.442012
207.500000,2.514649,2.440314
208.000000,2.514649,2.439865
208.500000,2.509766,2.440533
209.000000,2.509766,2.442177
209.500000,2.519532,2.444659
210.000000,2.514649,2.447849
210.500000,2.509766,2.451622
211.000000,2.514649,2.455855
211.500000,2.514649,2.460434
212.000000,2.514649,2.465253
212.500000,2.514649,2.470215
213.000000,2.514649,2.475235
213.500000,2.509766,2.480232
214.000000,2.514649,2.485135
214.500000,2.514649,2.489882
215.000000,2.514649,2.494423
215.500000,2.519532,2.498719
216.000000,2.519532,2.502741
216.500000,2.519532,2.506471
217.000000,2.514649,2.509896
217.500000,2.514649,2.513005
218.000000,2.519532,2.515790
218.500000,2.529297,2.518254
219.000000,2.514649,2.520409
219.500000,2.514649,2.522267
220.000000,2.519532,2.523836
220.500000,2.519532,2.525127
221.000000,2.519532,2.526157
221.500000,2.519532,2.526946
222.000000,2.524414,2.527515
222.500000,2.519532,2.527887
223.000000,2.519532,2.528087
223.500000,2.519532,2.528134
224.000000,2.524414,2.528048
224.500000,2.519532,2.527849
225.000000,2.519532,2.527559
225.500000,2.524414,2.527194
226.000000,2.514649,2.526771
226.500000,2.524414,2.526303
227.000000,2.519532,2.525803
227.500000,2.519532,2.525284
228.000000,2.519532,2.524757
228.500000,2.524414,2.524229
229.000000,2.524414,2.523713
229.500000,2.519532,2.523220
230.000000,2.524414,2.522759
230.500000,2.519532,2.522333
231.000000,-2.470703,2.520855
231.500000,-2.475586,2.514230
232.000000,-2.475586,2.496143
232.500000,-2.470703,2.460929
233.000000,-2.480469,2.404707
233.500000,-2.480469,2.325116
234.000000,-2.480469,2.221087
234.500000,-2.490235,2.092624
235.000000,-2.485352,1.940608
235.500000,-2.490235,1.766624
236.000000,-2.495117,1.572796
236.500000,-2.495117,1.361648
237.000000,-2.495117,1.135973
237.500000,-2.495117,0.898733
238.000000,-2.495117,0.652955
238.500000,-2.495117,0.401658
239.000000,-2.500000,0.147775
239.500000,-2.500000,-0.105899
240.000000,-2.500000,-0.356757
240.500000,-2.500000,-0.602408
241.000000,-2.500000,-0.840703
241.500000,-2.500000,-1.069750
242.000000,-2.500000,-1.287930
242.500000,-2.500000,-1.493891
243.000000,-2.500000,-1.686552
243.500000,-2.504883,-1.865095
244.000000,-2.500000,-2.028955
244.500000,-2.504883,-2.177801
245.000000,-2.500000,-2.311522
245.500000,-2.500000,-2.430203
246.000000,-2.500000,-2.534107
246.500000,-2.500000,-2.623656
247.000000,-2.509766,-2.699407
247.500000,-2.504883,-2.762041
248.000000,-2.509766,-2.812337
248.500000,-2.500000,-2.851144
249.000000,-2.509766,-2.879362
249.500000,-2.504883,-2.897930
