Name,Julian Soh
CurrentOmegaR_rad_s,20.943951
PreviousOmegaR_rad_s,-20.943951
Kp,0.104000
Ki,2.070000
BTI,5.000000

Sample,Omega_J_rad_s,Ua
0,-20.862139,4.487972
1,-15.953400,4.384753
2,-6.749515,3.761807
3,1.227185,3.177578
4,8.590292,2.577779
5,14.112623,2.102739
6,18.407769,1.704521
7,22.089323,1.328836
8,24.543693,1.049026
9,26.384470,0.810802
10,27.611654,0.620515
11,29.452431,0.350537
12,29.452431,0.262474
13,29.452431,0.174412
14,30.066023,0.019360
15,29.452431,-0.008065
16,28.838839,-0.029138
17,28.838839,-0.110851
18,27.611654,-0.058585
19,27.611654,-0.127595
20,26.998062,-0.129617
21,26.384470,-0.125288
22,25.157285,-0.047620
23,25.157285,-0.091228
24,23.930100,-0.000858
25,23.930100,-0.031765
26,23.316508,0.004318
27,22.702916,0.046751
28,22.702916,0.028545
29,22.089323,0.077329
30,22.089323,0.065474
31,21.475731,0.120609
32,20.862139,0.182094
33,20.862139,0.182941
34,21.475731,0.116798
35,20.862139,0.178283
36,20.862139,0.179130
37,20.862139,0.179977
38,20.248546,0.247813
39,20.862139,0.188021
40,20.862139,0.188868
41,20.862139,0.189715
42,20.862139,0.190561
43,20.248546,0.258397
44,20.862139,0.198606
45,20.862139,0.199452
46,20.862139,0.200299
47,20.862139,0.201146
48,20.862139,0.201993
49,20.248546,0.269828
50,20.862139,0.210037
51,20.862139,0.210883
52,20.248546,0.278719
53,20.862139,0.218928
54,20.862139,0.219774
55,20.862139,0.220621
56,20.862139,0.221468
57,20.862139,0.222315
58,20.248546,0.290150
59,20.862139,0.230359
60,21.475731,0.164217
61,20.862139,0.225702
62,20.248546,0.293537
63,20.862139,0.233746
64,20.862139,0.234593
65,21.475731,0.168451
66,20.862139,0.229936
67,20.862139,0.230782
68,20.862139,0.231629
69,20.862139,0.232476
70,20.862139,0.233323
71,21.475731,0.167180
72,20.862139,0.228665
73,20.862139,0.229512
74,20.862139,0.230359
75,20.862139,0.231206
76,20.862139,0.232052
77,21.475731,0.165910
78,20.862139,0.227395
79,20.862139,0.228242
80,21.475731,0.162100
81,20.862139,0.223585
82,20.862139,0.224432
83,20.862139,0.225278
84,21.475731,0.159136
85,20.862139,0.220621
86,20.862139,0.221468
87,20.862139,0.222315
88,21.475731,0.156173
89,20.862139,0.217658
90,20.862139,0.218504
91,20.862139,0.219351
92,20.862139,0.220198
93,20.862139,0.221045
94,21.475731,0.154902
95,20.248546,0.283376
96,20.862139,0.223585
97,21.475731,0.157443
98,20.862139,0.218928
99,20.862139,0.219774
